rank,school,team_score
1,Birmingham Seaholm,106.67
2,Midland Dow,80.01
3,Grand Rapids Forest Hills Northern,73.35
4,Byron Center,71.0
5,Grand Rapids Forest Hills Central,61.01
6,Portage Central,60.01
7,Grosse Pointe South,56.67
8,Detroit U-D Jesuit,56.66
9,Birmingham Groves,43.34
10,Berkley,27.65
11,South Lyon East,27.32
12,Traverse City Central,25.32
13,Midland,20.98
14,Dexter,15.32
15,South Lyon,14.99
16,Mattawan,14.32
17,Muskegon Mona Shores,13.0
18,Southgate Anderson,12.66
19,Farmington,10.33
20,Lapeer,9.66
20,North Farmington,9.66
22,Royal Oak,8.33
23,Gibraltar Carlson,8.0
24,Riverview Gabriel Richard,7.33
25,Flushing,6.33
25,Walled Lake Central,6.33
27,Grosse Pointe North,6.0
28,East Lansing,5.33
28,Portage Northern,5.33
30,Dearborn Divine Child,5.0
30,Wyandotte Roosevelt,5.0
32,Muskegon Reeths-Puffer,4.33
33,Battle Creek Lakeview,4.0
33,Milford,4.0
35,Jackson,3.0
36,Grand Rapids Northview,2.0
36,Greenville,2.0
36,Petoskey,2.0
36,Temperance Bedford,2.0
36,Traverse City St Francis,2.0
36,White Lake Lakeland,2.0
36,Ypsilanti Lincoln,2.0
43,Alpena,1.0
43,Bay City Western,1.0
43,Fenton,1.0
43,Grand Rapids Kenowa Hills,1.0
43,Grosse Pointe Woods University Liggett,1.0
43,Holly,1.0
43,Lake Fenton/Linden,1.0
43,Mount Pleasant,1.0
43,Plainwell,1.0
43,Sparta,1.0
43,Traverse City West,1.0
43,Zeeland West,1.0
55,Allen Park,0.0
55,Auburn Hills Avondale,0.0
55,Battle Creek Central,0.0
55,Bay City Central,0.0
55,Brownstown Woodhaven,0.0
55,Caledonia,0.0
55,Carleton Airport,0.0
55,Cedar Springs,0.0
55,Clio,0.0
55,Coopersville,0.0
55,Davison,0.0
55,Dearborn,0.0
55,Dearborn Edsel Ford,0.0
55,Dearborn Heights Crestwood,0.0
55,Edwardsburg,0.0
55,Ferndale,0.0
55,Flint Kearsley,0.0
55,Flint Powers Catholic,0.0
55,Garden City,0.0
55,Grand Rapids Ottawa Hills,0.0
55,Hamtramck,0.0
55,Jenison,0.0
55,Kalamazoo Central,0.0
55,Kalamazoo Loy Norrix,0.0
55,Livonia Franklin,0.0
55,Lowell,0.0
55,Milan,0.0
55,Muskegon Western Michigan Christian,0.0
55,Niles,0.0
55,Ortonville Brandon,0.0
55,Oxford,0.0
55,Pinckney,0.0
55,Redford Thurston,0.0
55,Richland Gull Lake,0.0
55,Riverview,0.0
55,Saginaw Heritage,0.0
55,Southfield Arts & Technology,0.0
55,St Clair Shores Lakeview,0.0
55,Sterling Heights,0.0
55,Stevensville Lakeshore,0.0
55,Trenton,0.0
55,Walled Lake Western,0.0
55,Warren Cousino,0.0
55,Warren Woods Tower,0.0
55,Wyoming,0.0
55,Ypsilanti,0.0
